,ICAO,Name,Country,Region,Latitude,Longitude,Ctemp,Snow
64,KMHT,Manchester Airport,US,NH,42.9296,-71.4356,17.2,
13,KBUF,Buffalo Airport,US,NY,42.9333,-78.7333,14.5,
67,KMKE,Gen Mitchell International Airport,US,WI,42.955,-87.9044,12.2,
60,CYXU,London International Airport,CA,ON,43.03,-81.15,16.2,
116,KSYR,Syracuse Hancock International  Airport,US,NY,43.1167,-76.1,12.8,
,,jacksonn ,,,43.4799,-110.7624,,
47,KIDA,Idaho Falls / Orvin,US,ID,43.5137,-112.0708,24.9,
11,KBOI,Boise Air Terminal,US,ID,43.5667,-116.2333,21.4,
110,KFSD,Sioux Falls Foss Field,US,SD,43.5833,-96.75,21.7,
89,KPWM,Portland International  Jetport,US,ME,43.65,-70.1333,13.1,
119,CXTO,Toronto City,CA,ON,43.67,-79.4,15.5,
71,KMPV,Montpelier / Berlin Corners,US,VT,44.2035,-72.5623,9.7,
54,CYGK,Kingston,CA,ON,44.2167,-76.6,13.3,
87,KPIR,Pierre / Alto,US,SD,44.3827,-100.286,23.3,
,,,,,44.6509,-63.5923,,
8,KBGR,Bangor / Martells Mobile Home Court,US,ME,44.8074,-68.8281,11.4,
6,KBKE,Baker / Estes (Historical),US,OR,44.8373,-117.8091,22,
68,KSTP,Saint Paul,US,MN,44.9346,-93.0603,16.9,
31,CWSS,St. Stephen,CA,NB,45.21,-67.25,11.3,
84,CYOW,Ottawa International Airport,CA,ON,45.32,-75.67,12,
99,CYSJ,Saint John Airport,CA,NB,45.32,-65.89,10,
72,CWTA,Montreal McTavish,CA,QC,45.5,-73.58,11,
90,KPDX,Portland International  Airport,US,OR,45.5833,-122.6,19.1,
,,,,,46.0878,-64.7782,,
,,,,,46.2382,-63.1311,,
58,KLWS,Lewiston Nez Perce Co Airport,US,ID,46.3667,-117.0167,23.9,
,,,,,46.3934,-63.7902,,
,,,,,46.4083,-105.8406,,
43,KHLN,Helena Regional Airport,US,MT,46.6,-111.9667,23.9,
10,KBIS,Bismarck Municipal Airport,US,ND,46.7833,-100.75,15.8,
30,KDLH,Duluth International Airport,US,MN,46.8333,-92.2167,8.3,
92,CXBO,Beauport,CA,QC,46.84,-71.2,10.4,
36,KFAR,Hector International Airport,US,ND,46.9333,-96.8167,17.2,
108,KBFI,Seattle / South Park,US,WA,47.53,-122.302,18.4,
,,,,,47.5556,-52.7453,,
112,KGEG,Spokane International Airport,US,WA,47.6167,-117.5333,17.6,
,,,,,48.3809,-89.2477,,
122,CWLM,Victoria Gonzales CS,CA,BC,48.41,-123.32,15,
,,,,,48.4757,-81.3305,,
42,KHVR,Havre City-County Airport,US,MT,48.55,-109.7667,16.7,
,,,,,48.9565,-54.6084,,
121,CYVR,Vancouver International Airport,CA,BC,49.19,-123.18,15.2,
75,CWNM,Nelson CS,CA,BC,49.49,-117.31,18,
127,CXWN,Winnipeg The Forks,CA,MB,49.89,-97.13,11.6,
,,,,,50.1162,-122.9535,,
73,CZMJ,Moose Jaw CS,CA,SK,50.33,-105.54,12.1,
14,CYYC,Calgary International Airport,CA,AB,51.12,-114.01,12,
,,,,,51.372,-55.5978,,
,,,,,53.5317,-64.0064,,
32,CXEC,Edmonton Blatchford,CA,AB,53.57,-113.52,11.8,
,,,,,55.7451,-97.8509,,
,,,,,56.7266,-111.379,,
,,,,,58.1991,-62.6259,,
51,PAJN,Juneau International Airport,US,AK,58.35,-134.5667,10.7,
,,,,,58.805,-122.6972,,
,,,,,59.57,-108.6445,,
,,,,,60.7197,-135.0523,,
3,PALH,Anchorage / Turnagain Heights,US,AK,61.18,-149.9719,6.7,
,,,,,62.454,-114.3718,,
,,,,,63.7467,-68.517,,
,,,,,64.3176,-96.022,,
80,PAOM,Nome Airport,US,AK,64.5167,-165.4333,0.9,
,,,,,68.3594,-133.7294,,
,,,,,69.1169,-105.0597,,
,,,,,74.6973,-94.8297,,
,,,,,79.9889,-85.9408,,
,,,,,54.3667,-82.5167,,
,,,,,76.03333,-94.73333,,
