LAT,LONG
42.66666667,73.75
35.08333333,106.65
35.18333333,101.8333333
61.21666667,149.9
33.75,84.38333333
30.26666667,97.73333333
44.78333333,117.8333333
39.3,76.63333333
44.8,68.78333333
33.5,86.83333333
46.8,100.7833333
43.6,116.2166667
42.35,71.08333333
42.91666667,78.83333333
51.01666667,114.0166667
32.43333333,104.25
32.78333333,79.93333333
38.35,81.63333333
35.23333333,80.83333333
41.15,104.8666667
41.83333333,87.61666667
39.13333333,84.5
41.46666667,81.61666667
34,81.03333333
40,83.01666667
32.76666667,96.76666667
39.75,105
41.58333333,93.61666667
42.33333333,83.05
42.51666667,90.66666667
46.81666667,92.08333333
44.9,67
53.56666667,113.4666667
32.63333333,115.55
31.76666667,106.4833333
44.05,123.0833333
46.86666667,96.8
35.21666667,111.6833333
32.71666667,97.31666667
36.73333333,119.8
39.08333333,108.55
42.96666667,85.66666667
48.55,109.7166667
46.58333333,112.0333333
21.3,157.8333333
34.51666667,93.05
29.75,95.35
43.5,112.0166667
39.76666667,86.16666667
32.33333333,90.2
30.36666667,81.66666667
58.3,134.4
39.1,94.58333333
24.55,81.8
44.25,76.5
42.16666667,121.7333333
35.95,83.93333333
36.16666667,115.2
46.4,117.0333333
40.83333333,96.66666667
43.03333333,81.56666667
33.76666667,118.1833333
34.05,118.25
38.25,85.76666667
43,71.5
35.15,90.05
25.76666667,80.2
43.03333333,87.91666667
44.98333333,93.23333333
30.7,88.05
32.35,86.3
44.25,72.53333333
45.5,73.58333333
50.61666667,105.5166667
36.16666667,86.78333333
49.5,117.2833333
40.73333333,74.16666667
41.31666667,72.91666667
29.95,90.06666667
40.78333333,73.96666667
64.41666667,165.5
37.8,122.2666667
35.43333333,97.46666667
41.25,95.93333333
45.4,75.71666667
39.95,75.16666667
33.48333333,112.0666667
44.36666667,100.35
40.45,79.95
43.66666667,70.25
45.51666667,122.6833333
41.83333333,71.4
46.81666667,71.18333333
35.76666667,78.65
39.5,119.8166667
38.76666667,112.0833333
37.55,77.48333333
37.28333333,79.95
38.58333333,121.5
45.3,66.16666667
38.58333333,90.2
40.76666667,111.9
29.38333333,98.55
32.7,117.1666667
37.78333333,122.4333333
37.33333333,121.8833333
35.68333333,105.95
32.08333333,81.08333333
47.61666667,122.3333333
32.46666667,93.7
43.55,96.73333333
57.16666667,135.25
47.66666667,117.4333333
39.8,89.63333333
42.1,72.56666667
37.21666667,93.28333333
43.03333333,76.13333333
27.95,82.45
41.65,83.55
43.66666667,79.4
36.15,95.98333333
49.21666667,123.1
48.41666667,123.35
36.85,75.96666667
38.88333333,77.03333333
37.71666667,97.28333333
34.23333333,77.95
49.9,97.11666667
